"Date","Type","Category","Amount","Currency","Memo","Wallet"
"07/24/2025, 5:28 PM","Expense","Food","-52.00","INR","Snacks","ICICI Savings Account"
"07/24/2025, 11:06 AM","Expense","Bills","-256.90","INR","Acha VI Recharge","ICICI Savings Account"
"07/23/2025, 7:03 PM","Expense","Food","-70.00","INR","Ice cream and biscuits","ICICI Savings Account"
"07/22/2025, 7:35 PM","Expense","Food","-45.00","INR","Icecream","ICICI Savings Account"
"07/22/2025, 7:10 PM","Expense","Food","-169.00","INR","Burger and chocolate Desire","ICICI Savings Account"
"07/22/2025, 3:44 PM","Expense","Food","-35.00","INR","Snacks","ICICI Savings Account"
"07/22/2025, 3:13 PM","Expense","Food","-10.00","INR","Choco Pie","ICICI Savings Account"
"07/21/2025, 5:07 PM","Expense","Health","-105.00","INR","Soap and Safety Pins","ICICI Savings Account"
"07/21/2025, 4:56 PM","Expense","Food","-206.00","INR","Mama Mio","ICICI Savings Account"
"07/20/2025, 9:41 PM","Expense","Food","-130.00","INR","Dinner","ICICI Savings Account"
"07/20/2025, 4:16 PM","Expense","Food","-40.00","INR","Maggie and Biscuit","ICICI Savings Account"
"07/19/2025, 8:47 PM","Expense","Food","-20.00","INR","Biscuits","ICICI Savings Account"
"07/19/2025, 8:36 PM","Expense","Food","-25.00","INR","Mess chowin","ICICI Savings Account"
"07/19/2025, 2:05 PM","Expense","Others","-1000.00","INR","Amma lend","SBI Savings Account"
"07/18/2025, 8:08 PM","Expense","Food","-20.00","INR","Biscuits","ICICI Savings Account"
"07/17/2025, 5:03 PM","Expense","Food","-140.00","INR","Lunch Noodles","ICICI Savings Account"
"07/16/2025, 7:12 PM","Expense","Food","-40.00","INR","Drinks","ICICI Savings Account"
"07/16/2025, 6:33 PM","Expense","Furniture","-280.00","INR","Curtains","ICICI Savings Account"
"07/16/2025, 4:54 PM","Expense","Food","-110.00","INR","Noodles and buscuit","ICICI Savings Account"
"07/16/2025, 3:00 PM","Expense","Household","-100.00","INR","Gave to House keeper","Cash"
"07/16/2025, 12:32 AM","Expense","Shopping","-542.00","INR","Room lock and phone charger","ICICI Credit Card"
"07/16/2025, 12:21 AM","Expense","Investment","-200.00","INR","Groww PSU MF","SBI Savings Account"
"07/16/2025, 12:00 AM","Expense","Investment","-200.00","INR","Groww Nifty MF","SBI Savings Account"
"07/15/2025, 6:40 PM","Expense","Food","-20.00","INR","Biscuit","ICICI Savings Account"
"07/15/2025, 3:10 PM","Expense","Food","-10.00","INR","Snack","ICICI Savings Account"
"07/14/2025, 6:49 PM","Expense","Shopping","-953.00","INR","Room Stuff","ICICI Savings Account"
"07/14/2025, 4:41 PM","Expense","Transportation","-36.33","INR","Moving Pickup","ICICI Savings Account"
"07/14/2025, 1:47 PM","Expense","Food","-60.00","INR","Mess Lunch","ICICI Savings Account"
"07/14/2025, 12:13 AM","Expense","Food","-62.00","INR","Night food","ICICI Savings Account"
